year,month,doy,mday,hod,min,date,fm10,utc_prov,utc_rounded,hod_utc,doy_utc
1996,4,112,21,18,10,1996-04-21 18:10:00,5.7,1996-04-22 01:10:00,1996-04-22 01:00:00,1,113
1996,4,113,22,6,30,1996-04-22 06:30:00,8.6,1996-04-22 13:30:00,1996-04-22 14:00:00,14,113
1996,4,113,22,17,4,1996-04-22 17:04:00,6.6,1996-04-23 00:04:00,1996-04-23 00:00:00,0,114
1996,4,114,23,5,0,1996-04-23 05:00:00,8.0,1996-04-23 12:00:00,1996-04-23 12:00:00,12,114
1996,4,114,23,17,0,1996-04-23 17:00:00,5.6,1996-04-24 00:00:00,1996-04-24 00:00:00,0,115
1996,4,115,24,4,25,1996-04-24 04:25:00,6.6,1996-04-24 11:25:00,1996-04-24 11:00:00,11,115
1996,4,115,24,15,45,1996-04-24 15:45:00,4.2,1996-04-24 22:45:00,1996-04-24 23:00:00,23,115
1996,4,116,25,6,10,1996-04-25 06:10:00,5.4,1996-04-25 13:10:00,1996-04-25 13:00:00,13,116
1996,4,116,25,15,45,1996-04-25 15:45:00,4.4,1996-04-25 22:45:00,1996-04-25 23:00:00,23,116
1996,4,117,26,4,15,1996-04-26 04:15:00,5.4,1996-04-26 11:15:00,1996-04-26 11:00:00,11,117
1996,4,117,26,15,45,1996-04-26 15:45:00,4.2,1996-04-26 22:45:00,1996-04-26 23:00:00,23,117
1996,4,118,27,5,25,1996-04-27 05:25:00,5.4,1996-04-27 12:25:00,1996-04-27 12:00:00,12,118
1996,4,118,27,14,15,1996-04-27 14:15:00,4.6,1996-04-27 21:15:00,1996-04-27 21:00:00,21,118
1996,4,119,28,6,0,1996-04-28 06:00:00,17.0,1996-04-28 13:00:00,1996-04-28 13:00:00,13,119
1996,4,119,28,14,49,1996-04-28 14:49:00,11.3,1996-04-28 21:49:00,1996-04-28 22:00:00,22,119
1996,4,120,29,5,0,1996-04-29 05:00:00,13.5,1996-04-29 12:00:00,1996-04-29 12:00:00,12,120
1996,4,120,29,16,15,1996-04-29 16:15:00,8.3,1996-04-29 23:15:00,1996-04-29 23:00:00,23,120
1996,4,121,30,5,55,1996-04-30 05:55:00,8.6,1996-04-30 12:55:00,1996-04-30 13:00:00,13,121
1996,4,121,30,15,30,1996-04-30 15:30:00,5.9,1996-04-30 22:30:00,1996-04-30 22:00:00,22,121
1996,5,122,1,5,55,1996-05-01 05:55:00,8.1,1996-05-01 12:55:00,1996-05-01 13:00:00,13,122
1996,5,122,1,17,10,1996-05-01 17:10:00,6.1,1996-05-02 00:10:00,1996-05-02 00:00:00,0,123
1996,5,123,2,6,4,1996-05-02 06:04:00,8.1,1996-05-02 13:04:00,1996-05-02 13:00:00,13,123
1996,5,123,2,15,30,1996-05-02 15:30:00,5.7,1996-05-02 22:30:00,1996-05-02 22:00:00,22,123
1996,5,124,3,4,30,1996-05-03 04:30:00,12.2,1996-05-03 11:30:00,1996-05-03 12:00:00,12,124
1996,5,124,3,18,49,1996-05-03 18:49:00,6.0,1996-05-04 01:49:00,1996-05-04 02:00:00,2,125
1996,5,125,4,5,30,1996-05-04 05:30:00,11.5,1996-05-04 12:30:00,1996-05-04 12:00:00,12,125
1996,5,125,4,18,25,1996-05-04 18:25:00,9.6,1996-05-05 01:25:00,1996-05-05 01:00:00,1,126
1996,5,126,5,5,40,1996-05-05 05:40:00,15.4,1996-05-05 12:40:00,1996-05-05 13:00:00,13,126
1996,5,126,5,17,40,1996-05-05 17:40:00,13.9,1996-05-06 00:40:00,1996-05-06 01:00:00,1,127
1996,5,127,6,4,49,1996-05-06 04:49:00,20.1,1996-05-06 11:49:00,1996-05-06 12:00:00,12,127
1996,5,127,6,18,45,1996-05-06 18:45:00,9.6,1996-05-07 01:45:00,1996-05-07 02:00:00,2,128
1996,5,128,7,5,25,1996-05-07 05:25:00,15.1,1996-05-07 12:25:00,1996-05-07 12:00:00,12,128
1996,5,128,7,17,30,1996-05-07 17:30:00,8.1,1996-05-08 00:30:00,1996-05-08 00:00:00,0,129
1996,5,129,8,4,15,1996-05-08 04:15:00,12.0,1996-05-08 11:15:00,1996-05-08 11:00:00,11,129
1996,5,129,8,17,25,1996-05-08 17:25:00,6.3,1996-05-09 00:25:00,1996-05-09 00:00:00,0,130
1996,5,130,9,4,45,1996-05-09 04:45:00,10.7,1996-05-09 11:45:00,1996-05-09 12:00:00,12,130
1996,5,130,9,15,0,1996-05-09 15:00:00,6.2,1996-05-09 22:00:00,1996-05-09 22:00:00,22,130
1996,5,131,10,5,15,1996-05-10 05:15:00,26.8,1996-05-10 12:15:00,1996-05-10 12:00:00,12,131
1996,5,131,10,15,30,1996-05-10 15:30:00,13.7,1996-05-10 22:30:00,1996-05-10 22:00:00,22,131
1996,5,132,11,5,15,1996-05-11 05:15:00,16.8,1996-05-11 12:15:00,1996-05-11 12:00:00,12,132
1996,5,132,11,17,10,1996-05-11 17:10:00,9.4,1996-05-12 00:10:00,1996-05-12 00:00:00,0,133
1996,5,133,12,5,49,1996-05-12 05:49:00,14.2,1996-05-12 12:49:00,1996-05-12 13:00:00,13,133
1996,5,133,12,15,40,1996-05-12 15:40:00,8.3,1996-05-12 22:40:00,1996-05-12 23:00:00,23,133
1996,5,134,13,6,25,1996-05-13 06:25:00,44.9,1996-05-13 13:25:00,1996-05-13 13:00:00,13,134
1996,5,134,13,15,30,1996-05-13 15:30:00,26.6,1996-05-13 22:30:00,1996-05-13 22:00:00,22,134
1996,5,135,14,5,30,1996-05-14 05:30:00,45.9,1996-05-14 12:30:00,1996-05-14 12:00:00,12,135
1996,5,135,14,17,0,1996-05-14 17:00:00,11.2,1996-05-15 00:00:00,1996-05-15 00:00:00,0,136
1996,5,136,15,5,30,1996-05-15 05:30:00,11.6,1996-05-15 12:30:00,1996-05-15 12:00:00,12,136
1996,5,136,15,17,30,1996-05-15 17:30:00,5.7,1996-05-16 00:30:00,1996-05-16 00:00:00,0,137
1996,5,137,16,5,15,1996-05-16 05:15:00,9.0,1996-05-16 12:15:00,1996-05-16 12:00:00,12,137
1996,5,137,16,14,0,1996-05-16 14:00:00,4.1,1996-05-16 21:00:00,1996-05-16 21:00:00,21,137
1996,5,138,17,5,15,1996-05-17 05:15:00,6.3,1996-05-17 12:15:00,1996-05-17 12:00:00,12,138
1996,5,138,17,20,10,1996-05-17 20:10:00,4.5,1996-05-18 03:10:00,1996-05-18 03:00:00,3,139
1996,5,139,18,5,0,1996-05-18 05:00:00,7.0,1996-05-18 12:00:00,1996-05-18 12:00:00,12,139
1996,5,139,18,17,49,1996-05-18 17:49:00,5.1,1996-05-19 00:49:00,1996-05-19 01:00:00,1,140
1996,5,140,19,6,0,1996-05-19 06:00:00,6.8,1996-05-19 13:00:00,1996-05-19 13:00:00,13,140
1996,5,140,19,18,40,1996-05-19 18:40:00,5.7,1996-05-20 01:40:00,1996-05-20 02:00:00,2,141
1996,5,141,20,6,0,1996-05-20 06:00:00,7.5,1996-05-20 13:00:00,1996-05-20 13:00:00,13,141
1996,5,141,20,19,19,1996-05-20 19:19:00,6.9,1996-05-21 02:19:00,1996-05-21 02:00:00,2,142
1996,5,142,21,4,45,1996-05-21 04:45:00,11.1,1996-05-21 11:45:00,1996-05-21 12:00:00,12,142
1996,5,142,21,16,45,1996-05-21 16:45:00,6.0,1996-05-21 23:45:00,1996-05-22 00:00:00,0,143
1996,5,143,22,4,45,1996-05-22 04:45:00,9.4,1996-05-22 11:45:00,1996-05-22 12:00:00,12,143
1996,5,143,22,17,19,1996-05-22 17:19:00,6.4,1996-05-23 00:19:00,1996-05-23 00:00:00,0,144
1996,5,144,23,5,45,1996-05-23 05:45:00,7.2,1996-05-23 12:45:00,1996-05-23 13:00:00,13,144
1996,5,144,23,15,30,1996-05-23 15:30:00,3.4,1996-05-23 22:30:00,1996-05-23 22:00:00,22,144
1996,5,145,24,5,30,1996-05-24 05:30:00,6.1,1996-05-24 12:30:00,1996-05-24 12:00:00,12,145
1996,5,145,24,17,45,1996-05-24 17:45:00,42.6,1996-05-25 00:45:00,1996-05-25 01:00:00,1,146
1996,5,146,25,5,19,1996-05-25 05:19:00,52.8,1996-05-25 12:19:00,1996-05-25 12:00:00,12,146
1996,5,146,25,17,45,1996-05-25 17:45:00,19.9,1996-05-26 00:45:00,1996-05-26 01:00:00,1,147
1996,5,147,26,5,40,1996-05-26 05:40:00,25.5,1996-05-26 12:40:00,1996-05-26 13:00:00,13,147
1996,5,147,26,17,10,1996-05-26 17:10:00,11.8,1996-05-27 00:10:00,1996-05-27 00:00:00,0,148
1996,5,148,27,5,30,1996-05-27 05:30:00,14.8,1996-05-27 12:30:00,1996-05-27 12:00:00,12,148
1996,5,148,27,14,49,1996-05-27 14:49:00,8.5,1996-05-27 21:49:00,1996-05-27 22:00:00,22,148
1996,5,149,28,7,45,1996-05-28 07:45:00,10.8,1996-05-28 14:45:00,1996-05-28 15:00:00,15,149
1996,5,149,28,17,30,1996-05-28 17:30:00,8.8,1996-05-29 00:30:00,1996-05-29 00:00:00,0,150
1996,5,150,29,5,30,1996-05-29 05:30:00,15.8,1996-05-29 12:30:00,1996-05-29 12:00:00,12,150
1996,5,150,29,17,30,1996-05-29 17:30:00,9.1,1996-05-30 00:30:00,1996-05-30 00:00:00,0,151
1996,5,151,30,5,10,1996-05-30 05:10:00,13.9,1996-05-30 12:10:00,1996-05-30 12:00:00,12,151
1996,5,151,30,17,45,1996-05-30 17:45:00,11.2,1996-05-31 00:45:00,1996-05-31 01:00:00,1,152
1996,5,152,31,6,30,1996-05-31 06:30:00,16.3,1996-05-31 13:30:00,1996-05-31 14:00:00,14,152
1996,5,152,31,17,40,1996-05-31 17:40:00,10.4,1996-06-01 00:40:00,1996-06-01 01:00:00,1,153
1996,6,153,1,5,49,1996-06-01 05:49:00,39.3,1996-06-01 12:49:00,1996-06-01 13:00:00,13,153
1996,6,153,1,18,15,1996-06-01 18:15:00,11.1,1996-06-02 01:15:00,1996-06-02 01:00:00,1,154
1996,6,154,2,5,40,1996-06-02 05:40:00,16.3,1996-06-02 12:40:00,1996-06-02 13:00:00,13,154
1996,6,154,2,17,40,1996-06-02 17:40:00,8.4,1996-06-03 00:40:00,1996-06-03 01:00:00,1,155
1996,6,155,3,6,0,1996-06-03 06:00:00,12.7,1996-06-03 13:00:00,1996-06-03 13:00:00,13,155
1996,6,155,3,16,49,1996-06-03 16:49:00,9.6,1996-06-03 23:49:00,1996-06-04 00:00:00,0,156
1996,6,156,4,5,19,1996-06-04 05:19:00,16.0,1996-06-04 12:19:00,1996-06-04 12:00:00,12,156
1996,6,156,4,13,49,1996-06-04 13:49:00,7.5,1996-06-04 20:49:00,1996-06-04 21:00:00,21,156
1996,6,157,5,5,0,1996-06-05 05:00:00,12.5,1996-06-05 12:00:00,1996-06-05 12:00:00,12,157
1996,6,157,5,18,15,1996-06-05 18:15:00,7.6,1996-06-06 01:15:00,1996-06-06 01:00:00,1,158
1996,6,158,6,6,0,1996-06-06 06:00:00,8.9,1996-06-06 13:00:00,1996-06-06 13:00:00,13,158
1996,6,158,6,15,55,1996-06-06 15:55:00,8.1,1996-06-06 22:55:00,1996-06-06 23:00:00,23,158
1996,6,159,7,5,19,1996-06-07 05:19:00,11.4,1996-06-07 12:19:00,1996-06-07 12:00:00,12,159
1996,6,159,7,17,0,1996-06-07 17:00:00,7.5,1996-06-08 00:00:00,1996-06-08 00:00:00,0,160
1996,6,160,8,4,0,1996-06-08 04:00:00,13.4,1996-06-08 11:00:00,1996-06-08 11:00:00,11,160
1996,6,160,8,9,0,1996-06-08 09:00:00,7.0,1996-06-08 16:00:00,1996-06-08 16:00:00,16,160
1996,6,161,9,6,10,1996-06-09 06:10:00,9.8,1996-06-09 13:10:00,1996-06-09 13:00:00,13,161
1996,6,161,9,15,19,1996-06-09 15:19:00,6.4,1996-06-09 22:19:00,1996-06-09 22:00:00,22,161
1996,6,162,10,6,0,1996-06-10 06:00:00,10.2,1996-06-10 13:00:00,1996-06-10 13:00:00,13,162
1996,6,162,10,15,40,1996-06-10 15:40:00,6.4,1996-06-10 22:40:00,1996-06-10 23:00:00,23,162
1996,6,163,11,5,19,1996-06-11 05:19:00,11.8,1996-06-11 12:19:00,1996-06-11 12:00:00,12,163
1996,6,163,11,14,25,1996-06-11 14:25:00,6.5,1996-06-11 21:25:00,1996-06-11 21:00:00,21,163
1996,6,164,12,6,30,1996-06-12 06:30:00,22.5,1996-06-12 13:30:00,1996-06-12 14:00:00,14,164
1996,6,164,12,14,30,1996-06-12 14:30:00,7.9,1996-06-12 21:30:00,1996-06-12 22:00:00,22,164
1996,6,165,13,6,0,1996-06-13 06:00:00,11.1,1996-06-13 13:00:00,1996-06-13 13:00:00,13,165
1996,6,165,13,15,30,1996-06-13 15:30:00,6.5,1996-06-13 22:30:00,1996-06-13 22:00:00,22,165
1996,6,166,14,4,49,1996-06-14 04:49:00,14.6,1996-06-14 11:49:00,1996-06-14 12:00:00,12,166
1996,6,166,14,16,30,1996-06-14 16:30:00,7.3,1996-06-14 23:30:00,1996-06-15 00:00:00,0,167
1996,6,167,15,5,30,1996-06-15 05:30:00,20.0,1996-06-15 12:30:00,1996-06-15 12:00:00,12,167
1996,6,167,15,15,45,1996-06-15 15:45:00,26.0,1996-06-15 22:45:00,1996-06-15 23:00:00,23,167
1996,6,168,16,6,10,1996-06-16 06:10:00,16.2,1996-06-16 13:10:00,1996-06-16 13:00:00,13,168
1996,6,168,16,15,15,1996-06-16 15:15:00,7.4,1996-06-16 22:15:00,1996-06-16 22:00:00,22,168
1996,6,169,17,4,15,1996-06-17 04:15:00,13.6,1996-06-17 11:15:00,1996-06-17 11:00:00,11,169
1996,6,169,17,14,45,1996-06-17 14:45:00,6.2,1996-06-17 21:45:00,1996-06-17 22:00:00,22,169
1996,6,170,18,4,19,1996-06-18 04:19:00,10.8,1996-06-18 11:19:00,1996-06-18 11:00:00,11,170
1996,6,170,18,14,25,1996-06-18 14:25:00,5.3,1996-06-18 21:25:00,1996-06-18 21:00:00,21,170
1996,6,171,19,4,0,1996-06-19 04:00:00,8.2,1996-06-19 11:00:00,1996-06-19 11:00:00,11,171
1996,6,171,19,15,15,1996-06-19 15:15:00,5.1,1996-06-19 22:15:00,1996-06-19 22:00:00,22,171
1996,6,172,20,4,45,1996-06-20 04:45:00,13.6,1996-06-20 11:45:00,1996-06-20 12:00:00,12,172
1996,6,172,20,16,0,1996-06-20 16:00:00,5.2,1996-06-20 23:00:00,1996-06-20 23:00:00,23,172
1996,6,173,21,4,30,1996-06-21 04:30:00,8.5,1996-06-21 11:30:00,1996-06-21 12:00:00,12,173
1996,6,173,21,15,19,1996-06-21 15:19:00,4.9,1996-06-21 22:19:00,1996-06-21 22:00:00,22,173
1996,6,174,22,5,19,1996-06-22 05:19:00,9.4,1996-06-22 12:19:00,1996-06-22 12:00:00,12,174
1996,6,174,22,15,30,1996-06-22 15:30:00,5.4,1996-06-22 22:30:00,1996-06-22 22:00:00,22,174
1996,6,175,23,5,30,1996-06-23 05:30:00,8.0,1996-06-23 12:30:00,1996-06-23 12:00:00,12,175
1996,6,175,23,14,55,1996-06-23 14:55:00,5.2,1996-06-23 21:55:00,1996-06-23 22:00:00,22,175
1996,6,176,24,4,40,1996-06-24 04:40:00,10.7,1996-06-24 11:40:00,1996-06-24 12:00:00,12,176
1996,6,176,24,15,30,1996-06-24 15:30:00,6.7,1996-06-24 22:30:00,1996-06-24 22:00:00,22,176
1996,6,177,25,4,10,1996-06-25 04:10:00,21.8,1996-06-25 11:10:00,1996-06-25 11:00:00,11,177
1996,6,177,25,15,30,1996-06-25 15:30:00,9.8,1996-06-25 22:30:00,1996-06-25 22:00:00,22,177
1996,6,178,26,5,30,1996-06-26 05:30:00,17.8,1996-06-26 12:30:00,1996-06-26 12:00:00,12,178
1996,6,178,26,15,0,1996-06-26 15:00:00,7.9,1996-06-26 22:00:00,1996-06-26 22:00:00,22,178
1996,6,179,27,9,15,1996-06-27 09:15:00,10.6,1996-06-27 16:15:00,1996-06-27 16:00:00,16,179
1996,6,179,27,17,30,1996-06-27 17:30:00,8.3,1996-06-28 00:30:00,1996-06-28 00:00:00,0,180
1996,6,180,28,4,10,1996-06-28 04:10:00,15.7,1996-06-28 11:10:00,1996-06-28 11:00:00,11,180
1996,6,180,28,15,45,1996-06-28 15:45:00,7.3,1996-06-28 22:45:00,1996-06-28 23:00:00,23,180
1996,6,181,29,4,19,1996-06-29 04:19:00,11.4,1996-06-29 11:19:00,1996-06-29 11:00:00,11,181
1996,6,181,29,17,45,1996-06-29 17:45:00,12.8,1996-06-30 00:45:00,1996-06-30 01:00:00,1,182
1996,6,182,30,6,0,1996-06-30 06:00:00,14.5,1996-06-30 13:00:00,1996-06-30 13:00:00,13,182
1996,6,182,30,14,55,1996-06-30 14:55:00,7.6,1996-06-30 21:55:00,1996-06-30 22:00:00,22,182
1996,7,183,1,5,0,1996-07-01 05:00:00,5.6,1996-07-01 12:00:00,1996-07-01 12:00:00,12,183
1996,7,183,1,16,30,1996-07-01 16:30:00,5.0,1996-07-01 23:30:00,1996-07-02 00:00:00,0,184
1996,7,184,2,6,10,1996-07-02 06:10:00,9.0,1996-07-02 13:10:00,1996-07-02 13:00:00,13,184
1996,7,184,2,15,4,1996-07-02 15:04:00,4.9,1996-07-02 22:04:00,1996-07-02 22:00:00,22,184
