year,month,doy,mday,hod,min,date,solar,rain,rh,temp,vap.press,vpd,wind,vap.den,utc,hod_utc,doy_utc,Ed,Ew
1996,3,86,26,15,0,1996-03-26 15:00:00,172.0,0.0,19.0,279.54999999999995,0.182724845777118,0.778984868839293,2.86964635607045,0.0235992975542909,1996-03-26 22:00:00,22,86,9.174253512301721,8.025427218991604
1996,3,86,26,16,0,1996-03-26 16:00:00,10.0,0.0,22.0,277.15,0.178984520929711,0.634581483296248,2.52330972688954,0.0229177687087592,1996-03-26 23:00:00,23,86,10.373939143347656,9.173163450027351
1996,3,86,26,17,0,1996-03-26 17:00:00,1.0,0.0,24.0,274.84999999999997,0.165809936297069,0.525064798274051,2.52330972688954,0.0210546617779572,1996-03-27 00:00:00,0,87,11.271797498434657,10.041297150676645
1996,3,86,26,18,0,1996-03-26 18:00:00,1.0,0.0,28.0,273.15,0.17108,0.43992,2.52330972688954,0.021589491924,1996-03-27 01:00:00,1,87,12.53198914114413,11.251702273161373
1996,3,86,26,19,0,1996-03-26 19:00:00,0.0,0.0,31.0,271.95,0.171512350523553,0.381753296326617,2.0780197750855,0.0215489660808946,1996-03-27 02:00:00,2,87,13.424253146301343,12.113703789588541
1996,3,86,26,20,0,1996-03-26 20:00:00,0.0,0.0,34.0,271.15,0.175977133909635,0.341602671706939,1.48429983934679,0.0220448843351341,1996-03-27 03:00:00,3,87,14.21814755138265,12.88238946907721
1996,3,86,26,21,0,1996-03-26 21:00:00,0.0,0.0,36.0,271.15,0.186328730021967,0.331251075594608,2.5727863882011,0.0233416422372008,1996-03-27 04:00:00,4,87,14.639400627671876,13.289287266666358
1996,3,86,26,22,0,1996-03-26 22:00:00,0.0,0.0,36.0,271.25,0.187892298777812,0.334030753382776,0.841103242296512,0.0235461931520884,1996-03-27 05:00:00,5,87,14.621687238998952,13.271573877993436
1996,3,86,26,23,0,1996-03-26 23:00:00,0.0,0.0,33.0,273.34999999999997,0.204584264576416,0.415368052321815,2.47383306557798,0.0258364762295471,1996-03-27 06:00:00,6,87,13.616232377394292,12.288362608262036
1996,3,87,27,0,0,1996-03-27 00:00:00,0.0,0.0,40.0,270.84999999999997,0.20189859961095,0.302847899416426,1.48429983934679,0.0252641168955372,1996-03-27 07:00:00,7,87,15.507117099382397,14.133379609855586
1996,3,87,27,1,0,1996-03-27 01:00:00,0.0,0.0,38.0,272.34999999999997,0.217335105063291,0.354599381945369,1.08848654885431,0.0273463417291621,1996-03-27 08:00:00,8,87,14.837512661228796,13.474792692850798
1996,3,87,27,2,0,1996-03-27 02:00:00,1.0,0.0,38.0,273.34999999999997,0.235581880421328,0.384370436476904,1.78115980721614,0.0297510938400845,1996-03-27 09:00:00,9,87,14.659789884531037,13.297069916153038
1996,3,87,27,3,0,1996-03-27 03:00:00,0.0,0.0,40.0,273.65,0.253439304208497,0.380158956312745,1.23691653278899,0.0320413935056546,1996-03-27 10:00:00,10,87,15.00818322459769,13.63444573507088
1996,3,87,27,4,0,1996-03-27 04:00:00,16.0,0.0,41.0,274.15,0.269342197566904,0.387589991620667,2.17697309770862,0.0341141555198907,1996-03-27 11:00:00,11,87,15.117132789902332,13.738436689119508
1996,3,87,27,5,0,1996-03-27 05:00:00,222.0,0.0,40.0,274.95,0.278339204037259,0.417508806055888,2.22644975902018,0.0353565662373205,1996-03-27 12:00:00,12,87,14.776535354161933,13.402797864635122
1996,3,87,27,6,0,1996-03-27 06:00:00,205.0,0.0,42.0,276.15,0.318377498191149,0.439664164168729,2.12749643639706,0.0406190151099744,1996-03-27 13:00:00,13,87,14.956433494766795,13.573122646547045
1996,3,87,27,7,0,1996-03-27 07:00:00,513.0,0.0,48.0,278.84999999999997,0.439788198259753,0.476437214781399,2.5727863882011,0.0566573418571463,1996-03-27 14:00:00,14,87,15.622260492916904,14.217591322585243
1996,3,87,27,8,0,1996-03-27 08:00:00,747.0,0.0,50.0,281.04999999999995,0.532964988241562,0.532964988241562,1.8306364685277,0.0692028921947244,1996-03-27 15:00:00,15,87,15.603002383783487,14.193260459976955
1996,3,87,27,9,0,1996-03-27 09:00:00,918.0,0.0,46.0,283.54999999999995,0.58044104061902,0.681387308552763,1.88011312983926,0.0760378343651957,1996-03-27 16:00:00,16,87,14.40204178846137,13.003388823691306
1996,3,87,27,10,0,1996-03-27 10:00:00,967.0,0.0,44.0,284.95,0.609315938863766,0.775493013099338,2.82016969475889,0.0802145544720043,1996-03-27 17:00:00,17,87,13.770383189406022,12.37880922735443
1996,3,87,27,11,0,1996-03-27 11:00:00,655.0,0.0,47.0,285.34999999999997,0.668258257350213,0.753567822118325,3.95813290492476,0.088097622105516,1996-03-27 18:00:00,18,87,14.268707062896071,12.866920617699128
1996,3,87,27,12,0,1996-03-27 12:00:00,788.0,0.0,47.0,285.65,0.681573524406162,0.768582910500565,3.16650632393981,0.0899474624879385,1996-03-27 19:00:00,19,87,14.214949741833733,12.81316329663679
1996,3,87,27,13,0,1996-03-27 13:00:00,431.0,0.0,50.0,284.75,0.683309956660861,0.683309956660861,3.36441296918605,0.0898924996935413,1996-03-27 20:00:00,20,87,14.939122115793955,13.529380191987423
1996,3,87,27,14,0,1996-03-27 14:00:00,249.0,0.0,57.0,282.84999999999997,0.686291500989991,0.517728676185432,2.77069303344733,0.0896823085874188,1996-03-27 21:00:00,21,87,16.583252367016623,15.161405387262242
1996,3,87,27,15,0,1996-03-27 15:00:00,74.0,0.0,61.0,281.75,0.681906394457327,0.435972940718619,2.42435640426642,0.0887627325069186,1996-03-27 22:00:00,22,87,17.533442870559725,16.106974708420044
1996,3,87,27,16,0,1996-03-27 16:00:00,11.0,0.0,69.0,279.84999999999997,0.677444915672999,0.304359309940043,2.0780197750855,0.087587327358803,1996-03-27 23:00:00,23,87,19.46382636781855,18.02605046441879
1996,3,87,27,17,0,1996-03-27 17:00:00,1.0,0.0,80.0,277.25,0.655448781039963,0.163862195259991,1.92958979115082,0.0839561066390183,1996-03-28 00:00:00,0,88,22.655171616688794,21.163062095463317
